"ID","easting","northing"
"DO01",-116.558535395537,38.9753724427843
"DO02",-116.550776071029,38.9667934796472
"DO03",-116.541217691278,38.9609456392262
"DO04",-116.537877383131,38.958985928377
"DO05",-116.532591655110,38.9574850370135
"DO06",-116.516461151508,38.9549629741823
"DO07",-116.511048421536,38.9457477253453
"DO09",-116.512142820450,38.9388083084684
"DO10",-116.514102953702,38.9359906519408
"DO11",-116.511222323893,38.9296332692467
"DO12",-116.507436447075,38.9227944590965
"DO13",-116.499804516800,38.9159778312781
"DO15",-116.486892544076,38.9076093775201
"DO16",-116.482286791164,38.9049334945766
"DO17",-116.484964405852,38.9009446659131
"DO14",-116.490983975909,38.9075816496043
"DO00",-116.566083727942,38.987684061483
